,V,E_V,I,E_I,V-I,PROB_VI,neighbor_dist
759,22.47072,0.069918826,21.99803,0.12194206,0.47269058,0.92629564,0.02900323769944012
760,22.473902,0.057838045,21.931044,0.105542615,0.5428581,0.8676902,0.0385373094123397
761,22.475208,0.08272993,22.018066,0.14298575,0.45714188,0.8947201,0.04983884164090007
762,22.475033,0.06252762,21.993456,0.10981553,0.48157692,0.90834826,0.032930633263296254
763,22.476795,0.061826453,21.881012,0.10539111,0.59578323,0.9244266,0.0540102433407164
764,22.47891,0.06028736,21.987658,0.106406376,0.4912529,0.92119324,0.026816001023956645
765,22.480219,0.05754793,21.962132,0.10056791,0.5180874,0.8574572,0.021648211226229442
766,22.481205,0.09463057,21.987442,0.16406687,0.49376297,0.9513707,0.015237988631429437
767,22.482414,0.09760119,22.01474,0.167081,0.46767426,0.95225024,0.027553528312086843
768,22.48521,0.089019686,21.971476,0.15107141,0.5137348,0.9310371,0.01248234252087211
769,22.48622,0.073581025,21.953993,0.12771644,0.53222656,0.8842943,0.01625575761648605
770,22.486614,0.0957372,21.971506,0.1604462,0.5151081,0.92542726,0.012407312679066973
771,22.489836,0.10049663,22.03845,0.17228182,0.4513855,0.9155546,0.04178944476510468
772,22.49143,0.08146552,21.995413,0.14216204,0.49601746,0.9297618,0.015437747109598426
773,22.492136,0.08324939,22.076992,0.15242435,0.41514397,0.96904856,0.04207728098285069
774,22.491028,0.055691946,21.862112,0.095408544,0.6289158,0.8972979,0.052077634342682394
775,22.493643,0.06780977,21.991297,0.11666818,0.50234604,0.93383723,0.01885188161056933
776,22.494522,0.08829439,21.871628,0.15030809,0.6228943,0.96268445,0.030076009604181768
777,22.495373,0.09467216,21.876919,0.15576191,0.618454,0.94808996,0.028244115706911516
778,22.497494,0.073539905,21.983538,0.12458354,0.51395607,0.91503716,0.01248234252087211
779,22.499075,0.108712465,22.000364,0.18153591,0.49871063,0.9151435,0.015437747109598426
780,22.49889,0.061412368,21.968008,0.10698875,0.5308819,0.90859836,0.029788692626850986
781,22.499878,0.063939534,21.92876,0.11125222,0.5711174,0.92461836,0.037047363473416514
782,22.50501,0.0804677,22.00418,0.13907291,0.5008297,0.9494563,0.01374711459604621
783,22.50636,0.07103641,22.036474,0.12538786,0.46988487,0.91817147,0.026603335429387923
