# File generated by CMD 3.7 (http://stev.oapd.inaf.it/cmd) on Thu Mar 28 21:50:06 UTC 2024
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using OBC version of bolometric corrections as detailed in Marigo et al. (2008, A&A 482, 883) and Girardi et al. (2008, PASP 120, 583
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Age = 3.162278E+09 yr
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.00061788 -1.40000 9.50000 1.0656359196 2.4856878202    1.065  0.647  3.8907  4.333    1  0.000  0.534     0.00     0.00 -1    -1e-30      0.00 7.948e-01 2.046e-01 9.914e-05 2.718e-05 2.475e-04 -1.000 5.692e-04 3.153 3.339 3.409 3.201 3.069 2.938 2.797 2.692 2.685
0.00061788 -1.40000 9.50000 1.0755505562 2.4874619361    1.075  0.677  3.8949  4.324    1  0.000  0.534     0.00     0.00 -1    -1e-30      0.00 7.950e-01 2.044e-01 9.908e-05 2.716e-05 2.474e-04 -1.000 5.651e-04 3.076 3.262 3.320 3.122 2.999 2.876 2.743 2.647 2.640
0.00061788 -1.40000 9.50000 1.0842088461 2.4889807596    1.084  0.704  3.8983  4.314    1  0.000  0.534     0.00     0.00 -1    -1e-30      0.00 7.952e-01 2.043e-01 9.902e-05 2.715e-05 2.473e-04 -1.000 5.667e-04 3.010 3.196 3.244 3.054 2.937 2.821 2.696 2.606 2.598
0.00061788 -1.40000 9.50000 1.0916116238 2.4902573946    1.091  0.726  3.9008  4.305    1  0.000  0.534     0.00     0.00 -1    -1e-30      0.00 7.951e-01 2.043e-01 9.905e-05 2.715e-05 2.474e-04 -1.000 5.929e-04 2.954 3.140 3.181 2.997 2.885 2.774 2.654 2.569 2.561
0.00061788 -1.40000 9.50000 1.0999999046 2.4916801279    1.099  0.751  3.9034  4.294    1  0.000  0.534     0.00     0.00 -1    -1e-30      0.00 7.953e-01 2.042e-01 9.900e-05 2.714e-05 2.473e-04 -1.000 5.781e-04 2.893 3.078 3.112 2.935 2.829 2.723 2.607 2.527 2.520
0.00061788 -1.40000 9.50000 1.1087089777 2.4931311055    1.108  0.775  3.9047  4.278    1  0.000  0.534     0.00     0.00 -1    -1e-30      0.00 7.954e-01 2.041e-01 9.898e-05 2.714e-05 2.472e-04 -1.000 5.473e-04 2.831 3.017 3.045 2.872 2.768 2.665 2.553 2.475 2.468
0.00061788 -1.40000 9.50000 1.1238765717 2.4955964755    1.123  0.831  3.9104  4.252    1  0.000  0.534     0.00     0.00 -1    -1e-30      0.00 7.954e-01 2.041e-01 9.897e-05 2.715e-05 2.472e-04 -1.000 5.753e-04 2.694 2.879 2.893 2.735 2.643 2.551 2.449 2.381 2.374
0.00061788 -1.40000 9.50000 1.1312404871 2.4967660408    1.131  0.865  3.9156  4.241    1  0.000  0.534     0.00     0.00 -1    -1e-30      0.00 7.953e-01 2.041e-01 9.898e-05 2.716e-05 2.473e-04 -1.000 5.908e-04 2.608 2.794 2.795 2.651 2.569 2.487 2.395 2.335 2.328
0.00061788 -1.40000 9.50000 1.1339465380 2.4971914395    1.133  0.887  3.9195  4.236    1  0.000  0.534     0.00     0.00 -1    -1e-30      0.00 7.952e-01 2.042e-01 9.902e-05 2.717e-05 2.474e-04 -1.000 5.755e-04 2.553 2.739 2.733 2.599 2.524 2.448 2.364 2.310 2.303
0.00061788 -1.40000 9.50000 1.1340997219 2.4972154506    1.133  0.888  3.9197  4.235    1  0.000  0.534     0.00     0.00 -1    -1e-30      0.00 7.952e-01 2.042e-01 9.902e-05 2.717e-05 2.474e-04 -1.000 5.745e-04 2.550 2.735 2.729 2.595 2.521 2.446 2.362 2.308 2.301
